price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final,model_type_standardized
60000.0,200TDI 5-Speed,130,White,72700.0,30,Restored-Modified,200tdi
35000.0,200TDI 5-Speed,90 Pickup,Blue,1100.0,28,Restored-Modified,200tdi
89500.0,300TDI 5-Speed,110 Wagon,Green,132000.0,26,Restored-Modified,300tdi
45500.0,standard,90 Soft Top,Yellow,118681.0,26,Modified,standard
35000.0,Station Wagon,110 Wagon,Gray,165000.0,37,Original & Highly Original,standard
55000.0,300TDI hi-Cap 5-Speed,130,Brown,158450.0,27,Restored-Modified,300tdi
42750.0,300TDI 5-Speed,90 Hard Top,Gray,109361.0,28,Restored-Modified,300tdi
45350.0,hi-Cap Pickup 5-Speed,110 Pickup - Single Cab,Red,18641.0,34,Original & Highly Original,standard
36100.0,5-Speed,110 Soft Top,Beige,15534.0,31,Restored-Original,standard
69000.0,300TDI 5-Speed,110 Wagon,Blue,148508.0,26,Restored-Original,300tdi
58000.0,Camper,110 Hard Top,Beige,3728.0,30,Restomod & Custom,standard
60000.0,V8 5-Speed,110 Soft Top,Blue,433859.0,28,Restored-Modified,v8
68000.0,300TDI 5-Speed,90 Wagon,Green,50331.0,27,Restored-Modified,300tdi
106700.0,standard,90 Hard Top,Green,144402.0,26,Restored-Modified,standard
73000.0,300TDI 5-Speed,110 Wagon,Green,116000.0,26,Restored-Original,300tdi
45500.0,300TDI 5-Speed,90 Soft Top,Green,159692.0,28,Restored-Modified,300tdi
62500.0,200TDI 5-Speed,90 Soft Top,Green,2500.0,31,Restored-Original,200tdi
80000.0,Pickup 300TDI 5-Speed,130,Beige,61516.0,26,Restored-Original,300tdi
38000.0,Turbodiesel 5-Speed,90 Hard Top,White,91200.0,34,Restored-Original,td
77999.0,standard,90 Soft Top,Gold/Bronze,283303.0,27,Restored-Modified,standard
39750.0,200TDI 5-Speed,90 Hard Top,White,87613.0,32,Restored-Modified,200tdi
38000.0,Turbodiesel 5-Speed,90 Hard Top,White,91200.0,34,Restored-Original,td
45500.0,300TDI 5-Speed,110 Wagon,Orange/Copper,175227.0,28,Restored-Modified,300tdi
68000.0,200TDI 5-Speed,110 Wagon,Gray,142294.0,30,Restored-Modified,200tdi
132950.0,200TDI 5-Speed 4X4,110 Wagon,Blue,29905.0,32,Restored-Modified,200tdi
80500.0,standard,90 Soft Top,Yellow,84463.0,28,Original & Highly Original,standard
38000.0,standard,110 Hard Top,Blue,70215.0,29,Original & Highly Original,standard
36500.0,standard,110 Wagon,Beige,73943.0,36,Restored-Original,standard
66000.0,standard,90 Hard Top,Blue,211.0,36,Unable to Determine,standard
132950.0,200TDI 5-Speed 4X4,110 Wagon,Blue,29905.0,32,Restored-Modified,200tdi
49500.0,standard,90 Wagon,Beige,271975.0,36,Restored-Modified,standard
40000.0,standard,110 Wagon,Gray,3600.0,30,Restored-Modified,standard
69069.0,V8 Paul Smith Tribute,110 Wagon,Multicolor,273403.0,30,Restored-Original,v8
32000.0,standard,110 Soft Top,Gray,68351.0,32,Restored-Modified,standard
81000.0,First Edition,130,Gray,200.0,0,Original & Highly Original,standard
75000.0,200TDI 5-Speed,90 Soft Top,Gray,446.0,31,Restored-Original,200tdi
30750.0,Pickup 5-Speed,110 Pickup - Single Cab,Gray,1200.0,32,Restored-Original,standard
76000.0,200TDI 5-Speed,110 Wagon,Blue,86371.0,31,Restored-Modified,200tdi
80000.0,200TDI 5-Speed,90 Hard Top,Gray,3000.0,32,Restored-Modified,200tdi
31500.0,300TDI 5-Speed,90 Hard Top,Gray,181440.0,27,Restored-Original,300tdi
68500.0,300TDI 5-Speed,110 Wagon,Gray,129245.0,28,Restored-Original,300tdi
69000.0,300TDI 5-Speed,90 Soft Top,Green,15661.0,29,Restomod & Custom,300tdi
38000.0,2.5L Turbodiesel,90 Hard Top,White,117594.0,36,Restored-Original,td
69000.0,300TDI 5-Speed,90 Soft Top,Green,15661.0,29,Restomod & Custom,300tdi
105000.0,300TDI 5-Speed,110 Wagon,Black,90720.0,28,Restored-Modified,300tdi
33000.0,Pickup 300TDI 5-Speed,90 Pickup,Green,83885.0,26,Original & Highly Original,300tdi
31995.0,standard,110 Hard Top,Green,170510.0,32,Restored-Modified,standard
41000.0,200TDI 5-Speed,90 Hard Top,White,201946.0,31,Restored-Original,200tdi
130876.0,Pickup,110 Pickup - Double Cab,Black,500.0,30,Restomod & Custom,standard
24500.0,Diesel Pickup 5-Speed,110 Pickup - Single Cab,Red,21127.0,29,Restored-Modified,standard
26000.0,Diesel Pickup 5-Speed,110 Pickup - Single Cab,Yellow,89477.0,30,Restored-Modified,standard
44159.0,5-Speed,90 Soft Top,Blue,123031.0,34,Restored-Modified,standard
138500.0,Land Rover Defender 110 V8 5-Speed,110 Wagon,Green,1200.0,33,Restored-Modified,v8
20000.0,Land Rover Defender 110 V8 5-Speed,110 Soft Top,Orange/Copper,79867.0,33,Restored-Modified,v8
35000.0,Diesel Pickup 5-Speed,110 Pickup - Single Cab,Brown,87613.0,32,Restored-Modified,standard
24000.0,300TDI 5-Speed,90 Hard Top,Gray,712.0,28,Restored-Modified,300tdi
80000.0,200TDI 5-Speed,110 Wagon,Blue,104390.0,31,Restored-Modified,200tdi
57000.0,2.0L Mpi 5-Speed,90 Hard Top,Gold/Bronze,135459.0,26,Restored-Modified,gas
52000.0,300TDI 5-Speed,110 Wagon,White,172741.0,27,Restored-Original,300tdi
24000.0,300TDI 5-Speed,90 Hard Top,Gray,712.0,28,Restored-Modified,300tdi
36000.0,200TDI 5-Speed,110 Wagon,Gold/Bronze,107000.0,32,Restored-Original,200tdi
77999.0,standard,90 Soft Top,Gold/Bronze,283303.0,27,Restored-Modified,standard
42750.0,2.0L Mpi 5-Speed,90 Hard Top,Black,142294.0,27,Restored-Modified,gas
101000.0,200TDI 5-Speed,110 Wagon,Gray,9000.0,31,Restored-Modified,200tdi
36000.0,200TDI 5-Speed,110 Wagon,Gold/Bronze,107000.0,32,Restored-Original,200tdi
25000.0,300TDI 5-Speed,90 Hard Top,White,167770.0,26,Restored-Original,300tdi
88995.0,standard,110 Hard Top,Gray,1810.0,31,Restored-Modified,standard
68500.0,standard,110 Wagon,Green,208778.0,28,Restored-Original,standard
55000.0,300TDI 5-Speed,110 Wagon,Green,968.0,26,Restored-Modified,300tdi
140000.0,300TDI 5-Speed,90 Soft Top,Orange/Copper,2100.0,28,Restored-Modified,300tdi
46000.0,300TDI 5-Speed,110 Wagon,Green,91342.0,27,Restored-Original,300tdi
78400.0,300TDI 5-Speed,110 Wagon,White,81682.0,30,Original & Highly Original,300tdi
41000.0,200TDI 5-Speed,110 Wagon,Orange/Copper,73943.0,31,Restored-Modified,200tdi
33999.0,standard,110 Wagon,Green,106400.0,26,Restored-Modified,standard
66000.0,Pickup 300TDI 5-Speed,130,White,35881.0,26,Restored-Modified,300tdi
24000.0,300TDI 5-Speed,90 Hard Top,Gray,712.0,28,Restored-Modified,300tdi
41000.0,300TDI 5-Speed,90 Hard Top,Green,121167.0,28,Restored-Original,300tdi
25250.0,300TDI 5-Speed,110 Hard Top,Green,136702.0,27,Restored-Original,300tdi
75000.0,Pickup 300TDI 5-Speed,130,Black,200.0,28,Modified,300tdi
42000.0,300TDI 5-Speed,90 Wagon,Blue,140430.0,26,Restored-Modified,300tdi
66000.0,Soft Top,90 Soft Top,Yellow,78400.0,29,Original & Highly Original,standard
62000.0,200TDI 5-Speed,110 Wagon,White,156585.0,30,Restored-Modified,200tdi
62300.0,standard,90 Soft Top,White,94956.0,29,Original & Highly Original,standard
27250.0,200TDI 5-Speed,90 Hard Top,Green,124274.0,31,Restored-Original,200tdi
138000.0,standard,90 Hard Top,White,5400.0,35,Restored-Original,standard
37600.0,300TDI 5-Speed,90 Pickup,Red,129245.0,28,Restored-Original,300tdi
77500.0,300TDI 5-Speed,90 Soft Top,Blue,126138.0,26,Restored-Modified,300tdi
46000.0,5-Speed,90 Wagon,Silver,165906.0,26,Restored-Modified,standard
39250.0,Pickup 5-Speed,110 Pickup - Single Cab,Gray,86992.0,27,Restored-Modified,standard
41440.0,Land Rover Defender 90 Hard Top,90 Hard Top,White,85000.0,33,Restored-Original,standard
62000.0,200TDI 5-Speed,110 Wagon,White,156585.0,30,Restored-Modified,200tdi
