price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final
36500.0,NAS 5-Speed,110 Wagon,Beige,11900073943.0,36,Restored-Original
68500.0,5-Door 300 TDI,110 Wagon,Gray,115033.791859,28,Restored-Original
39999.0,3-Door Hard Top 300 TDI,90 Hard Top,White,146945.542306,28,Restored-Original
88995.0,standard,110 Hard Top,Gray,325945.0,27,Restored-Modified
58500.0,standard,90 Hard Top,Green,140429.846,26,Restored-Original
47500.0,standard,90 Hard Top,Gray,105000.0,32,Restored-Original
45000.0,V8 5-Speed,130,Gray,53437.906,30,Restored-Original
91000.0,300TDI 5-Speed,110 Soft Top,Burgundy,1600.0,28,Restored-Modified
55000.0,300TDI 5-Speed,110 Wagon,Green,968.0,26,Restored-Modified
55000.0,300TDI 5-Speed,110 Wagon,Green,968.0,26,Restored-Modified
91000.0,300TDI 5-Speed,110 Soft Top,Red,68000.0,28,Restored-Modified
57120.0,2-Door Soft Top,110 Soft Top,Blue,0.0,32,Restored-Modified
102500.0,2-Door Soft Top,127,Gray,10000.0,34,Restomod & Custom
32000.0,standard,110 Soft Top,Gray,68350.81,32,Restored-Modified
56700.0,200TDI,90 Soft Top,Silver,84639.0,32,Restored-Original
57999.0,standard,110 Wagon,Yellow,117607.0,32,Original & Highly Original
56700.0,200TDI,90 Soft Top,Silver,84639.0,32,Restored-Original
33500.0,300TDI 5-Speed,110 Hard Top,White,253519.36800000002,27,Restored-Original
50500.0,200TDI 5-Speed,90 Hard Top,Black,107497.0,32,Restored-Modified
60000.0,200TDI 5-Speed,130,White,72700.407,30,Restored-Modified
35000.0,200TDI 5-Speed,90 Pickup,Blue,1100.0,28,Restored-Modified
79000.0,300TDI 5-Speed,110 Hard Top,Gray,50.0,28,Restomod & Custom
89500.0,300TDI 5-Speed,110 Wagon,Green,132000.0,26,Restored-Modified
45500.0,standard,90 Soft Top,Yellow,118681.0,26,Modified
35000.0,Station Wagon,110 Wagon,Gray,165000.0,37,Original & Highly Original
55000.0,300TDI hi-Cap 5-Speed,130,Brown,158450.0,27,Restored-Modified
42750.0,300TDI 5-Speed,90 Hard Top,Gray,109361.296,28,Restored-Modified
90000.0,NAS 5-Speed,90 Soft Top,Red,14000.0,29,Original & Highly Original
45350.0,hi-Cap Pickup 5-Speed,110 Pickup - Single Cab,Red,18641.0,34,Original & Highly Original
66500.0,NAS,90 Soft Top,Yellow,115400.0,29,Modified
91500.0,NAS 5-Speed,90 Soft Top,Yellow,78000.0,28,Original & Highly Original
36100.0,5-Speed,110 Soft Top,Beige,15534.0,31,Restored-Original
69000.0,300TDI 5-Speed,110 Wagon,Blue,148507.669,26,Restored-Original
58000.0,Camper,110 Hard Top,Beige,3728.226,30,Restomod & Custom
60500.0,standard,90 Hard Top,Green,0.0,31,Restored-Modified
53000.0,NAS 5-Speed,90 Wagon,White,130000.0,28,Modified
60000.0,V8 5-Speed,110 Soft Top,Blue,433859.0,28,Restored-Modified
220000.0,standard,90 Soft Top,Green,0.0,29,Restored-Modified
68000.0,300TDI 5-Speed,90 Wagon,Green,50331.0,27,Restored-Modified
106700.0,standard,90 Hard Top,Green,144401.649432,26,Restored-Modified
73700.0,NAS Convertible,90 Soft Top,Green,0.0,29,Restored-Original
93500.0,Custom SUV,90 Hard Top,Green,0.0,27,Restored-Modified
112200.0,NAS by Tophat,110 Wagon,Orange/Copper,0.0,30,Restomod & Custom
73000.0,300TDI 5-Speed,110 Wagon,Green,116000.0,26,Restored-Original
45500.0,300TDI 5-Speed,90 Soft Top,Green,159692.347,28,Restored-Modified
62500.0,200TDI 5-Speed,90 Soft Top,Green,2500.0,31,Restored-Original
80000.0,Pickup 300TDI 5-Speed,130,Beige,61516.0,26,Restored-Original
38000.0,Turbodiesel 5-Speed,90 Hard Top,White,91200.0,34,Restored-Original
80000.0,standard,130,White,0.0,26,Original & Highly Original
77999.0,standard,90 Soft Top,Gold/Bronze,283303.0,27,Restored-Modified
39750.0,200TDI 5-Speed,90 Hard Top,White,14100087613.0,32,Restored-Modified
101000.0,NAS 5-Speed,90 Soft Top,Green,37000.0,29,Original & Highly Original
38000.0,Turbodiesel 5-Speed,90 Hard Top,White,91200.0,34,Restored-Original
45500.0,300TDI 5-Speed,110 Wagon,Orange/Copper,175226.622,28,Restored-Modified
68000.0,200TDI 5-Speed,110 Wagon,Gray,142293.959,30,Restored-Modified
132950.0,200TDI 5-Speed 4X4,110 Wagon,Blue,29905.0,32,Restored-Modified
80500.0,standard,90 Soft Top,Yellow,84463.0,28,Original & Highly Original
75500.0,NAS 5-Speed,90 Soft Top,Blue,98000.0,29,Original & Highly Original
46000.0,standard,110 Wagon,Blue,0.0,27,Restored-Original
62700.0,standard,110 Wagon,Gray,0.0,26,Restored-Modified
38000.0,standard,110 Hard Top,Blue,70214.923,29,Original & Highly Original
36500.0,standard,110 Wagon,Beige,11900073943.0,36,Restored-Original
60500.0,standard,110 Wagon,Gray,0.0,40,Restomod & Custom
66000.0,standard,90 Hard Top,Blue,211.0,36,Unable to Determine
132950.0,200TDI 5-Speed 4X4,110 Wagon,Blue,29905.0,32,Restored-Modified
49500.0,standard,90 Wagon,Beige,271975.0,36,Restored-Modified
40000.0,standard,110 Wagon,Gray,3600.0,30,Restored-Modified
34000.0,NAS 5-Speed,90 Soft Top,Black,115000.0,28,Original & Highly Original
69069.0,V8 Paul Smith Tribute,110 Wagon,Multicolor,273403.24,30,Restored-Original
112000.0,NAS 5-Speed,90 Soft Top,Green,81000.0,29,Restored-Original
32000.0,standard,110 Soft Top,Gray,68350.81,32,Restored-Modified
81000.0,First Edition,130,Gray,200.0,0,Original & Highly Original
75000.0,200TDI 5-Speed,90 Soft Top,Gray,446.0,31,Restored-Original
30750.0,Pickup 5-Speed,110 Pickup - Single Cab,Gray,1200.0,32,Restored-Original
76000.0,200TDI 5-Speed,110 Wagon,Blue,86370.569,31,Restored-Modified
78500.0,NAS 5-Speed,90 Soft Top,Green,120000.0,29,Original & Highly Original
80000.0,200TDI 5-Speed,90 Hard Top,Gray,3000.0,32,Restored-Modified
31500.0,300TDI 5-Speed,90 Hard Top,Gray,181440.332,27,Restored-Original
68500.0,300TDI 5-Speed,110 Wagon,Gray,129245.168,28,Restored-Original
69000.0,300TDI 5-Speed,90 Soft Top,Green,15661.0,29,Restomod & Custom
38000.0,2.5L Turbodiesel,90 Hard Top,White,117594.0,36,Restored-Original
69000.0,300TDI 5-Speed,90 Soft Top,Green,15661.0,29,Restomod & Custom
69000.0,standard,90 Soft Top,Green,0.0,30,Restomod & Custom
73000.0,NAS,90 Wagon,White,98000.0,28,Original & Highly Original
105000.0,300TDI 5-Speed,110 Wagon,Black,14600090720.0,28,Restored-Modified
33000.0,Pickup 300TDI 5-Speed,90 Pickup,Green,83885.085,26,Original & Highly Original
31995.0,standard,110 Hard Top,Green,170510.41611,32,Restored-Modified
41000.0,200TDI 5-Speed,90 Hard Top,White,201945.575,31,Restored-Original
130876.0,Pickup,110 Pickup - Double Cab,Black,500.0,30,Restomod & Custom
